Origin_Airport,Destination_Airport,Departure_Time,Arrival_Time,Airline,Duration,Date,Price
PQC,HAN,9:05 AM,11:05 AM,VietJet Air,2 hr,2024-07-01,"₫2,084,600"
PQC,HAN,8:50 AM,11:00 AM,Vietnam Airlines,2 hr 10 min,2024-07-01,"₫2,210,000"
PQC,HAN,8:50 PM,10:55 PM,VietJet Air,2 hr 5 min,2024-07-01,"₫2,289,800"
PQC,HAN,12:35 PM,2:40 PM,VietJet Air,2 hr 5 min,2024-07-01,"₫2,516,600"
PQC,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-07-01,"₫3,008,000"
PQC,HAN,11:55 AM,2:05 PM,Vietnam Airlines,2 hr 10 min,2024-07-01,"₫3,020,000"
PQC,HAN,2:00 PM,4:10 PM,Vietnam Airlines,2 hr 10 min,2024-07-01,"₫3,020,000"
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-07-02,"₫1,868,600"
PQC,HAN,9:40 PM,11:50 PM,Vietnam Airlines,2 hr 10 min,2024-07-02,"₫1,929,000"
PQC,HAN,11:55 AM,2:05 PM,Vietnam Airlines,2 hr 10 min,2024-07-02,"₫2,210,000"
PQC,HAN,2:00 PM,4:10 PM,Vietnam Airlines,2 hr 10 min,2024-07-02,"₫2,210,000"
PQC,HAN,9:05 AM,11:05 AM,VietJet Air,2 hr,2024-07-02,"₫2,084,600"
PQC,HAN,12:35 PM,2:40 PM,VietJet Air,2 hr 5 min,2024-07-02,"₫2,084,600"
PQC,HAN,8:50 PM,10:55 PM,VietJet Air,2 hr 5 min,2024-07-02,"₫2,084,600"
PQC,HAN,4:50 PM,6:55 PM,VietJet Air,2 hr 5 min,2024-07-02,"₫2,516,600"
PQC,HAN,7:45 AM,9:45 AM,VietJet Air,2 hr,2024-07-03,"₫1,868,600"
PQC,HAN,8:50 AM,11:00 AM,Vietnam Airlines,2 hr 10 min,2024-07-03,"₫1,929,000"
PQC,HAN,9:05 AM,11:05 AM,VietJet Air,2 hr,2024-07-03,"₫2,084,600"
